ts_ms,metric_group,metric_name,metric_numeric_value,metric_text,labels
1779380619786,execution,broker_avg_hold_s,0.0,,{}
1779380619786,execution,broker_current_losing_streak,0.0,,{}
1779380619786,execution,broker_worst_losing_streak,0.0,,{}
1779380619786,execution,broker_open_orders,0.0,,{}
1779380619786,execution,broker_broker_mode,,live_alpaca,{}
1779380619786,safety,safe_mode,0.0,,{}
1779380619786,safety,kill_switch,0.0,,{}
1779380619786,safety,runtime_health_status,,OK,{}
1779380619786,safety,api_errors,0.0,,{}
1779380619786,safety,order_rejections,0.0,,{}
1779380619786,safety,stale_data_violations,0.0,,{}
1779380619786,safety,health_messages,,,"{""value_json"": ""[]""}"
1779380619786,system,rss_memory_mb,84.402,,{}
1779380619786,system,thread_count,2.0,,{}
1779380619786,system,sqlite_size_mb,1884.371,,{}
1779380634801,runtime,uptime_seconds,105.278,,{}
1779380634801,runtime,runtime_profile,,dry_run,{}
1779380634801,runtime,process_start_ts,1779380529.0,,{}
1779380634801,runtime,process_start_ts_ms,1779380529524.0,,{}
1779380634801,runtime,pid,42498.0,,{}
1779380634801,runtime,heartbeat_age_seconds,5.005,,{}
1779380634801,market_data,ws_connected,0.0,,{}
1779380634801,market_data,ws_disconnect_count,0.0,,{}
1779380634801,market_data,poll_ok,234.0,,{}
1779380634801,market_data,poll_err,0.0,,{}
1779380634801,market_data,poll_backoff_s,0.0,,{}
1779380634801,market_data,active_symbols,3.0,,{}
1779380634801,market_data,ready_symbols,0.0,,{}
1779380634801,market_data,ready_symbol_list,,,"{""value_json"": ""[]""}"
1779380634801,market_data,stale_symbols,,,"{""value_json"": ""[]""}"
1779380634801,market_data,stale_global,0.0,,{}
1779380634801,ml,feature_updates,228.0,,{}
1779380634801,ml,prediction_count,0.0,,{}
1779380634801,ml,candidate_count,0.0,,{}
1779380634801,ml,ranking_count,0.0,,{}
1779380634801,ml,signal_count,0.0,,{}
1779380634801,ml,inference_failures,0.0,,{}
1779380634801,ml,fallback_predictions,0.0,,{}
1779380634801,ml,last_refresh_ts_ms,,,{}
1779380634801,ml,last_ranking_ts_ms,,,{}
1779380634801,ml,top_symbols,,,"{""value_json"": ""[]""}"
1779380634801,ml,shadow_prediction_count,0.0,,{}
1779380634801,ml,shadow_candidate_count,0.0,,{}
1779380634801,ml,shadow_signal_count,0.0,,{}
1779380634801,ml,shadow_would_trade_count,0.0,,{}
1779380634801,ml,shadow_blocked_execution_count,0.0,,{}
1779380634801,ml,parity_check_count,0.0,,{}
1779380634801,ml,parity_failure_count,0.0,,{}
1779380634801,execution,fills,0.0,,{}
1779380634801,execution,open_positions,0.0,,{}
1779380634801,execution,exposure,0.0,,{}
1779380634801,execution,realized_pnl,0.0,,{}
1779380634801,execution,unrealized_pnl,0.0,,{}
1779380634801,execution,equity,100.0,,{}
1779380634801,execution,cash,100.0,,{}
1779380634801,execution,rejected_orders,0.0,,{}
1779380634801,execution,open_orders,0.0,,{}
1779380634801,execution,broker_realized_pnl,0.0,,{}
1779380634801,execution,broker_trades,0.0,,{}
1779380634801,execution,broker_wins,0.0,,{}
1779380634801,execution,broker_losses,0.0,,{}
1779380634801,execution,broker_win_rate,0.0,,{}
